seriesAcronym,acronym,city,country,startDate,endDate,year,url
CCCG,CCCG 1998,Montreal,Canada,1998-08-10,1998-08-12,1998,http://portal.confref.org/list/cccg1998
IRREGULAR,IRREGULAR 1998,Berkeley,United States of America,1998-08-09,1998-08-11,1998,http://portal.confref.org/list/irregular1998
LCPC,LCPC 1998,Chapel Hill,USA,1998-08-07,1998-08-09,1998,http://portal.confref.org/list/lcpc1998
LISA-NT,LISA-NT 1998,Seattle,United States of America,1998-08-06,1998-08-08,1998,http://portal.confref.org/list/lisa-nt1998
IWMMDBMS,IWMMDBMS 1998,Dayton,USA,1998-08-05,1998-08-07,1998,http://portal.confref.org/list/iwmmdbms1998
INLG,INLG 1998,Niagara-on-the-Lake,Canada,1998-08-05,1998-08-07,1998,http://portal.confref.org/list/inlg1998
ADG,ADG 1998,Beijing,People's Republic of China,1998-08-01,1998-08-03,1998,http://portal.confref.org/list/adg1998
RIC,RIC 1998,Siena,Italy,1998-07-30,1998-08-02,1998,http://portal.confref.org/list/ric1998
IV,IV 1998,London,United Kingdom,1998-07-29,1998-07-31,1998,http://portal.confref.org/list/iv1998
UAI,UAI 1998,Madison,USA,1998-07-24,1998-07-26,1998,http://portal.confref.org/list/uai1998
ICML,ICML 1998,Madison,USA,1998-07-24,1998-07-27,1998,http://portal.confref.org/list/icml1998
COLT,COLT 1998,Madison,USA,1998-07-24,1998-07-26,1998,http://portal.confref.org/list/colt1998
TARK,TARK 1998,Evanston,USA,1998-07-22,1998-07-24,1998,http://portal.confref.org/list/tark1998
ILP,ILP 1998,Madison,USA,1998-07-22,1998-07-24,1998,http://portal.confref.org/list/ilp1998
SCM,SCM 1998,Brussels,Belgium,1998-07-20,1998-07-21,1998,http://portal.confref.org/list/scm1998
ECOOP,ECOOP 1998,Brussels,Belgium,1998-07-20,1998-07-24,1998,http://portal.confref.org/list/ecoop1998
CPM,CPM 1998,Piscataway,USA,1998-07-20,1998-07-22,1998,http://portal.confref.org/list/cpm1998
AID,AID 1998,Lisbon,Portugal,1998-07-20,1998-07-23,1998,http://portal.confref.org/list/aid1998
AGP,AGP 1998,A Coruña,Spain,1998-07-20,1998-07-23,1998,http://portal.confref.org/list/agp1998
DSRT,DSRT 1998,Montreal,Canada,1998-07-19,1998-07-20,1998,http://portal.confref.org/list/dsrt1998
APPROX,APPROX 1998,Aalborg,Denmark,1998-07-18,1998-07-19,1998,http://portal.confref.org/list/approx1998
IFIP8-1,IFIP8-1 1998,Beijing,People's Republic of China,1998-07-15,1998-07-17,1998,http://portal.confref.org/list/ifip8-11998
DBSEC,DBSEC 1998,Chalkidiki,Greece,1998-07-15,1998-07-17,1998,http://portal.confref.org/list/dbsec1998
APCHI,APCHI 1998,Kangawa,Japan,1998-07-15,1998-07-17,1998,http://portal.confref.org/list/apchi1998
IFIP8-3,IFIP8-3 1998,Bled,Slovenia,1998-07-13,1998-07-15,1998,http://portal.confref.org/list/ifip8-31998
ICS,ICS 1998,Melbourne,Australia,1998-07-13,1998-07-17,1998,http://portal.confref.org/list/ics1998
ICALP,ICALP 1998,Aalborg,Denmark,1998-07-13,1998-07-17,1998,http://portal.confref.org/list/icalp1998
DAI,DAI 1998,Brisbane,Australia,1998-07-13,1998-07-13,1998,http://portal.confref.org/list/dai1998
AUSAI,AUSAI 1998,Brisbane,Australia,1998-07-13,1998-07-17,1998,http://portal.confref.org/list/ausai1998
IDEAS,IDEAS 1998,Cardiff,U.K.,1998-07-08,1998-07-10,1998,http://portal.confref.org/list/ideas1998
EUROPLOP,EUROPLOP 1998,Irsee,Germany,1998-07-08,1998-07-12,1998,http://portal.confref.org/list/europlop1998
ACSE,ACSE 1998,Brisbane,Australia,1998-07-08,1998-07-10,1998,http://portal.confref.org/list/acse1998
BNCOD,BNCOD 1998,Cardiff,UK,1998-07-06,1998-07-08,1998,http://portal.confref.org/list/bncod1998
CADE,CADE 1998,Lindau,Germany,1998-07-05,1998-07-10,1998,http://portal.confref.org/list/cade1998
MABS,MABS 1998,Paris,France,1998-07-04,1998-07-06,1998,http://portal.confref.org/list/mabs1998
CRW,CRW 1998,Paris,France,1998-07-04,1998-07-05,1998,http://portal.confref.org/list/crw1998
CIA,CIA 1998,Paris,France,1998-07-04,1998-07-07,1998,http://portal.confref.org/list/cia1998
ATAL,ATAL 1998,Paris,France,1998-07-04,1998-07-07,1998,http://portal.confref.org/list/atal1998
ICMAS,ICMAS 1998,Paris,France,1998-07-03,1998-07-07,1998,http://portal.confref.org/list/icmas1998
IWFM,IWFM 1998,Cork,Ireland,1998-07-02,1998-07-03,1998,http://portal.confref.org/list/iwfm1998
VW,VW 1998,Paris,France,1998-07-01,1998-07-03,1998,http://portal.confref.org/list/vw1998
SSDBM,SSDBM 1998,Capri,Italy,1998-07-01,1998-07-03,1998,http://portal.confref.org/list/ssdbm1998
ISCC,ISCC 1998,Athens,Greece,1998-06-30,1998-07-02,1998,http://portal.confref.org/list/iscc1998
RT,RT 1998,Vienna,Austria,1998-06-29,1998-07-01,1998,http://portal.confref.org/list/rt1998
SPAA,SPAA 1998,Puerto Vallarta,Mexico,1998-06-28,1998-07-02,1998,http://portal.confref.org/list/spaa1998
PODC,PODC 1998,Puerto Vallarta,Mexico,1998-06-28,1998-07-02,1998,http://portal.confref.org/list/podc1998
ICMCS,ICMCS 1998,Austin,United States of America,1998-06-28,1998-07-01,1998,http://portal.confref.org/list/icmcs1998
EEF School,EEF School 1998,Isle of Skye,UK,1998-06-28,1998-07-03,1998,http://portal.confref.org/list/eef1998
CAV,CAV 1998,Vancouver,Canada,1998-06-28,1998-07-02,1998,http://portal.confref.org/list/cav1998
CIFER,CIFER 1998,New York City,United States of America,1998-06-25,1998-06-25,1998,http://portal.confref.org/list/cifer1998
IWPC,IWPC 1998,Ischia,Italy,1998-06-24,1998-06-26,1998,http://portal.confref.org/list/iwpc1998
FTCS,FTCS 1998,Munich,United States of America,1998-06-23,1998-06-25,1998,http://portal.confref.org/list/ftcs1998
DL,DL 1998,Pittsburgh,United States of America,1998-06-23,1998-06-26,1998,http://portal.confref.org/list/dl1998
CVPR,CVPR 1998,Santa Barbara,USA,1998-06-23,1998-06-25,1998,http://portal.confref.org/list/cvpr1998
SIROCCO,SIROCCO 1998,Amalfi,Italy,1998-06-22,1998-06-24,1998,http://portal.confref.org/list/sirocco1998
SIGMETRICS,SIGMETRICS 1998,Madison,USA,1998-06-22,1998-06-26,1998,http://portal.confref.org/list/sigmetrics1998
RSCTC,RSCTC 1998,Warsaw,Poland,1998-06-22,1998-06-26,1998,http://portal.confref.org/list/rsctc1998
IPCO,IPCO 1998,Houston,United States of America,1998-06-22,1998-06-24,1998,http://portal.confref.org/list/ipco1998
CGI,CGI 1998,Hannover,Germany,1998-06-22,1998-06-24,1998,http://portal.confref.org/list/cgi1998
APN,APN 1998,Lisbon,Portugal,1998-06-22,1998-06-26,1998,http://portal.confref.org/list/apn1998
VECPAR,VECPAR 1998,Porto,Portugal,1998-06-21,1998-06-23,1998,http://portal.confref.org/list/vecpar1998
LICS,LICS 1998,Indianapolis,USA,1998-06-21,1998-06-24,1998,http://portal.confref.org/list/lics1998
ANTS,ANTS 1998,Portland,United States of America,1998-06-21,1998-06-25,1998,http://portal.confref.org/list/ants1998
HT,HT 1998,Pittsburgh,United States of America,1998-06-20,1998-06-24,1998,http://portal.confref.org/list/ht1998
IFIP7-2,IFIP7-2 1998,Hangzhou,People's Republic of China,1998-06-19,1998-06-22,1998,http://portal.confref.org/list/ifip7-21998
WG,WG 1998,Smolenice Castle,Slovak Republic,1998-06-18,1998-06-20,1998,http://portal.confref.org/list/wg1998
GRAPHICSINTERFACE,GRAPHICSINTERFACE 1998,Vancouver,Canada,1998-06-18,1998-06-20,1998,http://portal.confref.org/list/graphicsinterface1998
Canadian AI,Canadian AI 1998,"Vancouver, BC",Canada,1998-06-18,1998-06-20,1998,http://portal.confref.org/list/canadianai1998
AI,AI 1998,Vancouver,Canada,1998-06-18,1998-06-20,1998,http://portal.confref.org/list/ai1998
WETICE,WETICE 1998,Palo Alto,USA,1998-06-17,1998-06-19,1998,http://portal.confref.org/list/wetice1998
PLDI,PLDI 1998,Montreal,Canada,1998-06-17,1998-06-19,1998,http://portal.confref.org/list/pldi1998
ECRTS,ECRTS 1998,Berlin,Germany,1998-06-17,1998-06-19,1998,http://portal.confref.org/list/ecrts1998
PASTE,PASTE 1998,Montreal,Canada,1998-06-16,1998-06-16,1998,http://portal.confref.org/list/paste1998
ESM,ESM 1998,Manchester,United Kingdom,1998-06-16,1998-06-19,1998,http://portal.confref.org/list/esm1998
USENIX,USENIX 1998,New Orleans,United States of America,1998-06-15,1998-06-19,1998,http://portal.confref.org/list/usenix1998
SLP,SLP 1998,Manchester,United Kingdom,1998-06-15,1998-06-19,1998,http://portal.confref.org/list/slp1998
MPC,MPC 1998,Marstrand,Sweden,1998-06-15,1998-06-17,1998,http://portal.confref.org/list/mpc1998
ICLP,ICLP 1998,Manchester,United Kingdom,1998-06-15,1998-06-19,1998,http://portal.confref.org/list/iclp1998
DAC,DAC 1998,San Francico,USA,1998-06-15,1998-06-19,1998,http://portal.confref.org/list/dac1998
COCO,COCO 1998,Buffalo,USA,1998-06-15,1998-06-18,1998,http://portal.confref.org/list/coco1998
ISTAS,ISTAS 1998,South Bend,USA,1998-06-12,1998-06-13,1998,http://portal.confref.org/list/istas1998
CBMS,CBMS 1998,Lubbock,USA,1998-06-12,1998-06-14,1998,http://portal.confref.org/list/cbms1998
CSFW,CSFW 1998,Rockport,USA,1998-06-09,1998-06-11,1998,http://portal.confref.org/list/csfw1998
REFSQ,REFSQ 1998,Pisa,Italy,1998-06-08,1998-06-09,1998,http://portal.confref.org/list/refsq1998
PROCOMET,PROCOMET 1998,Shelter Island,USA,1998-06-08,1998-06-12,1998,http://portal.confref.org/list/procomet1998
CAiSE,CAiSE 1998,Pisa,Italy,1998-06-08,1998-06-12,1998,http://portal.confref.org/list/caise1998
CA,CA 1998,Philadelphia,United States of America,1998-06-08,1998-06-10,1998,http://portal.confref.org/list/ca1998
ADAEUROPE,ADAEUROPE 1998,Uppsala,Sweden,1998-06-08,1998-06-12,1998,http://portal.confref.org/list/adaeurope1998
COMPGEOM,COMPGEOM 1998,Minneapolis,United States of America,1998-06-07,1998-06-10,1998,http://portal.confref.org/list/compgeom1998
SMILE,SMILE 1998,Freiburg,Germany,1998-06-06,1998-06-07,1998,http://portal.confref.org/list/smile1998
EUROVAV,EUROVAV 1998,Povo,Italy,1998-06-06,1998-06-08,1998,http://portal.confref.org/list/eurovav1998
DLOG,DLOG 1998,Trento,Italy,1998-06-06,1998-06-08,1998,http://portal.confref.org/list/dlog1998
UML,UML 1998,Mulhouse,France,1998-06-03,1998-06-04,1998,http://portal.confref.org/list/uml1998
RTAS,RTAS 1998,Denver,United States of America,1998-06-03,1998-06-05,1998,http://portal.confref.org/list/rtas1998
RSP,RSP 1998,Leuven,Belgium,1998-06-03,1998-06-05,1998,http://portal.confref.org/list/rsp1998
DSVIS,DSVIS 1998,Abingdon,United Kingdom,1998-06-03,1998-06-05,1998,http://portal.confref.org/list/dsvis1998
KR,KR 1998,Trento,Italy,1998-06-02,1998-06-08,1998,http://portal.confref.org/list/kr1998
ICSR,ICSR 1998,Victoria,Canada,1998-06-02,1998-06-05,1998,http://portal.confref.org/list/icsr1998
EMNLP,EMNLP 1998,Granada,Spain,1998-06-02,1998-06-02,1998,http://portal.confref.org/list/emnlp1998
ECCV,ECCV 1998,Freiburg,Germany,1998-06-02,1998-06-06,1998,http://portal.confref.org/list/eccv1998
PODS,PODS 1998,Seattle,United States of America,1998-06-01,1998-06-03,1998,http://portal.confref.org/list/pods1998
IEAAIE,IEAAIE 1998,Castellón,Spain,1998-06-01,1998-06-04,1998,http://portal.confref.org/list/ieaaie1998
EUROCRYPT,EUROCRYPT 1998,Espoo,Finland,1998-05-31,1998-06-04,1998,http://portal.confref.org/list/eurocrypt1998
LCR,LCR 1998,Pittsburgh,United States of America,1998-05-28,1998-05-30,1998,http://portal.confref.org/list/lcr1998
VDB,VDB 1998,L'Aquila,Italy,1998-05-27,1998-05-29,1998,http://portal.confref.org/list/vdb1998
ISMVL,ISMVL 1998,Fukuoka,Japan,1998-05-27,1998-05-29,1998,http://portal.confref.org/list/ismvl1998
PADS,PADS 1998,Banff,Canada,1998-05-26,1998-05-29,1998,http://portal.confref.org/list/pads1998
ICDCS,ICDCS 1998,Amsterdam,The Netherlands,1998-05-26,1998-05-29,1998,http://portal.confref.org/list/icdcs1998
EJC,EJC 1998,Vammala,Finland,1998-05-26,1998-05-29,1998,http://portal.confref.org/list/ejc1998
ECMAST,ECMAST 1998,Berlin,Germany,1998-05-26,1998-05-28,1998,http://portal.confref.org/list/ecmast1998
ISN,ISN 1998,Antwerp,Belgium,1998-05-25,1998-05-28,1998,http://portal.confref.org/list/isn1998
IFIP6-3,IFIP6-3 1998,Lund,Sweden,1998-05-25,1998-05-28,1998,http://portal.confref.org/list/ifip6-31998
AVI,AVI 1998,L'Aquila,Italy,1998-05-24,1998-05-24,1998,http://portal.confref.org/list/avi1998
STOC,STOC 1998,Dallas,United States of America,1998-05-23,1998-05-26,1998,http://portal.confref.org/list/stoc1998
SYBEN,SYBEN 1998,Zürich,Switzerland,1998-05-19,1998-05-20,1998,http://portal.confref.org/list/syben1998
FLAIRS,FLAIRS 1998,Sanibel Island,USA,1998-05-18,1998-05-20,1998,http://portal.confref.org/list/flairs1998
EIPPPC,EIPPPC 1998,Zürich,Switzerland,1998-05-18,1998-05-20,1998,http://portal.confref.org/list/eipppc1998
PICS,PICS 1998,Portland,United States of America,1998-05-17,1998-05-20,1998,http://portal.confref.org/list/pics1998
TIME,TIME 1998,Sanibel Island,USA,1998-05-16,1998-05-17,1998,http://portal.confref.org/list/time1998
ICRA,ICRA 1998,Leuven,Belgium,1998-05-16,1998-05-20,1998,http://portal.confref.org/list/icra1998
ICCL,ICCL 1998,Chicago,United States of America,1998-05-13,1998-05-16,1998,http://portal.confref.org/list/iccl1998
ICASSP,ICASSP 1998,Seattle,United States of America,1998-05-12,1998-05-15,1998,http://portal.confref.org/list/icassp1998
AMET,AMET 1998,Minneapolis,United States of America,1998-05-10,1998-05-10,1998,http://portal.confref.org/list/amet1998
ACMPOLICY,ACMPOLICY 1998,"Washington, D.C.",United States of America,1998-05-10,1998-05-12,1998,http://portal.confref.org/list/acmpolicy1998
AGENTS,AGENTS 1998,St. Paul,USA,1998-05-09,1998-05-13,1998,http://portal.confref.org/list/agents1998
TABLEAUX,TABLEAUX 1998,Oisterwijk,The Netherlands,1998-05-05,1998-05-08,1998,http://portal.confref.org/list/tableaux1998
SP,SP 1998,Oakland,United States of America,1998-05-03,1998-05-06,1998,http://portal.confref.org/list/sp1998
VTS,VTS 1998,Princeton,United States of America,1998-05-01,1998-05-01,1998,http://portal.confref.org/list/vts1998
COOTS,COOTS 1998,Santa Fe,USA,1998-04-27,1998-04-30,1998,http://portal.confref.org/list/coots1998
ESANN,ESANN 1998,Bruges,Belgium,1998-04-22,1998-04-24,1998,http://portal.confref.org/list/esann1998
B,B 1998,Montpellier,France,1998-04-22,1998-04-24,1998,http://portal.confref.org/list/b1998
ADL,ADL 1998,Santa Barbara,USA,1998-04-22,1998-04-24,1998,http://portal.confref.org/list/adl1998
KES,KES 1998,Adelaide,South Australia,1998-04-21,1998-04-23,1998,http://portal.confref.org/list/kes1998
HPCN,HPCN 1998,Amsterdam,The Netherlands,1998-04-21,1998-04-23,1998,http://portal.confref.org/list/hpcn1998
ECML,ECML 1998,Chemnitz,Germany,1998-04-21,1998-04-23,1998,http://portal.confref.org/list/ecml1998
VISSCI,VISSCI 1998,Blaubeuren,Germany,1998-04-20,1998-04-22,1998,http://portal.confref.org/list/vissci1998
PDSE,PDSE 1998,Kyoto,Japan,1998-04-20,1998-04-21,1998,http://portal.confref.org/list/pdse1998
ISORC,ISORC 1998,Kyoto,Japan,1998-04-20,1998-04-22,1998,http://portal.confref.org/list/isorc1998
ISMSE,ISMSE 1998,Kyoto,Japan,1998-04-20,1998-04-21,1998,http://portal.confref.org/list/ismse1998
ELPUB,ELPUB 1998,Pest,Hungary,1998-04-20,1998-04-22,1998,http://portal.confref.org/list/elpub1998
EVOW,EVOW 1998,Paris,France,1998-04-16,1998-04-17,1998,http://portal.confref.org/list/evow1998
EvoRobots,EvoRobots 1998,Paris,France,1998-04-16,1998-04-17,1998,http://portal.confref.org/list/evostar1998
SPW,SPW 1998,Cambridge,UK,1998-04-15,1998-04-17,1998,http://portal.confref.org/list/spw1998
PAKDD,PAKDD 1998,Melbourne,Australia,1998-04-15,1998-04-17,1998,http://portal.confref.org/list/pakdd1998
FCCM,FCCM 1998,Napa,USA,1998-04-15,1998-04-17,1998,http://portal.confref.org/list/fccm1998
ASSETS,ASSETS 1998,Marina del Rey,USA,1998-04-15,1998-04-17,1998,http://portal.confref.org/list/assets1998
IH,IH 1998,Portland,United States of America,1998-04-14,1998-04-17,1998,http://portal.confref.org/list/ih1998
FGR,FGR 1998,Nara,Japan,1998-04-14,1998-04-16,1998,http://portal.confref.org/list/fgr1998
EUROGP,EUROGP 1998,Paris,France,1998-04-14,1998-04-15,1998,http://portal.confref.org/list/eurogp1998
SPIEVIP,SPIEVIP 1998,Orlando,United States of America,1998-04-13,1998-04-13,1998,http://portal.confref.org/list/spievip1998
HYBRID,HYBRID 1998,Berkeley,United States of America,1998-04-13,1998-04-15,1998,http://portal.confref.org/list/hybrid1998
ISPD,ISPD 1998,Monterey,United States of America,1998-04-06,1998-04-08,1998,http://portal.confref.org/list/ispd1998
ANSS,ANSS 1998,Boston,United States of America,1998-04-05,1998-04-09,1998,http://portal.confref.org/list/anss1998
ASYNC,ASYNC 1998,San Diego,United States of America,1998-04-02,1998-04-02,1998,http://portal.confref.org/list/async1998
ADT,ADT 1998,Lisbon,Portugal,1998-04-02,1998-04-04,1998,http://portal.confref.org/list/adt1998
HIPS,HIPS 1998,Orlando,United States of America,1998-04-01,1998-04-01,1998,http://portal.confref.org/list/hips1998
BROADBAND,BROADBAND 1998,Stuttgart,Germany,1998-04-01,1998-04-03,1998,http://portal.confref.org/list/broadband1998
ACMSE,ACMSE 1998,Marietta,USA,1998-04-01,1998-04-03,1998,http://portal.confref.org/list/acmse1998
RTA,RTA 1998,Tsukuba,Japan,1998-03-30,1998-04-01,1998,http://portal.confref.org/list/rta1998
JSSPP,JSSPP 1998,Orlando,United States of America,1998-03-30,1998-03-30,1998,http://portal.confref.org/list/jsspp1998
HCW,HCW 1998,Orlando,United States of America,1998-03-30,1998-03-30,1998,http://portal.confref.org/list/hcw1998
DCC,DCC 1998,Snowbird,Utah,1998-03-30,1998-04-01,1998,http://portal.confref.org/list/dcc1998
INFOCOM,INFOCOM 1998,San Francisco,United States of America,1998-03-29,1998-04-02,1998,http://portal.confref.org/list/infocom1998
EP,EP 1998,Saint Malo,France,1998-03-29,1998-04-30,1998,http://portal.confref.org/list/ep1998
TACAS,TACAS 1998,Lisbon,Portugal,1998-03-28,1998-04-04,1998,http://portal.confref.org/list/tacas1998
NODALIDA,NODALIDA 1998,Denmark,United States of America,1998-03-28,1998-03-29,1998,http://portal.confref.org/list/nodalida1998
FOSSACS,FOSSACS 1998,Lisbon,Portugal,1998-03-28,1998-04-04,1998,http://portal.confref.org/list/fossacs1998
FASE,FASE 1998,Lisbon,Portugal,1998-03-28,1998-04-04,1998,http://portal.confref.org/list/fase1998
ESOP,ESOP 1998,Lisbon,Portugal,1998-03-28,1998-04-04,1998,http://portal.confref.org/list/esop1998
CC,CC 1998,Lisbon,Portugal,1998-03-28,1998-04-04,1998,http://portal.confref.org/list/cc1998
TYPES,TYPES 1998,Kloster Irsee,Germany,1998-03-27,1998-03-31,1998,http://portal.confref.org/list/types1998
SIGCPR,SIGCPR 1998,Boston,United States of America,1998-03-26,1998-03-28,1998,http://portal.confref.org/list/sigcpr1998
BILDMED,BILDMED 1998,Aachen,Germany,1998-03-26,1998-03-27,1998,http://portal.confref.org/list/bildmed1998
TIC,TIC 1998,Kyoto,Japan,1998-03-25,1998-03-27,1998,http://portal.confref.org/list/tic1998
EPS,EPS 1998,San Diego,United States of America,1998-03-25,1998-03-27,1998,http://portal.confref.org/list/eps1998
CATA,CATA 1998,Honolulu,United States of America,1998-03-25,1998-03-27,1998,http://portal.confref.org/list/cata1998
MCU,MCU 1998,Metz,France,1998-03-23,1998-03-27,1998,http://portal.confref.org/list/mcu1998
FSE,FSE 1998,Paris,France,1998-03-23,1998-03-25,1998,http://portal.confref.org/list/fse1998
EDBT,EDBT 1998,Valencia,Spain,1998-03-23,1998-03-27,1998,http://portal.confref.org/list/edbt1998
ACSD,ACSD 1998,Fukushima,Japan,1998-03-23,1998-03-26,1998,http://portal.confref.org/list/acsd1998
RECOMB,RECOMB 1998,New York City,United States of America,1998-03-22,1998-03-25,1998,http://portal.confref.org/list/recomb1998
METRICS,METRICS 1998,Bethesda,USA,1998-03-20,1998-03-21,1998,http://portal.confref.org/list/metrics1998
CODES,CODES 1998,Seattle,United States of America,1998-03-15,1998-03-18,1998,http://portal.confref.org/list/codes1998
VR,VR 1998,Atlanta,United States of America,1998-03-14,1998-03-18,1998,http://portal.confref.org/list/vr1998
MBMV,MBMV 1998,Paderborn,Germany,1998-03-09,1998-03-11,1998,http://portal.confref.org/list/mbmv1998
CSMR,CSMR 1998,Florence,Italy,1998-03-08,1998-03-11,1998,http://portal.confref.org/list/csmr1998
WWCA,WWCA 1998,Tsukuba,Japan,1998-03-04,1998-03-05,1998,http://portal.confref.org/list/wwca1998
FMSP,FMSP 1998,Clearwater Beach,USA,1998-03-04,1998-03-05,1998,http://portal.confref.org/list/fmsp1998
ISSTA,ISSTA 1998,Clearwater Beach,USA,1998-03-02,1998-03-05,1998,http://portal.confref.org/list/issta1998
SAC,SAC 1998,Atlanta,United States of America,1998-02-27,1998-03-01,1998,http://portal.confref.org/list/sac1998
SIGCSE,SIGCSE 1998,Atlanta,United States of America,1998-02-26,1998-03-01,1998,http://portal.confref.org/list/sigcse1998
ARES,ARES 1998,Las Palmas de Gran Canaria,Spain,1998-02-26,1998-02-27,1998,http://portal.confref.org/list/ares1998
STACS,STACS 1998,Paris,France,1998-02-25,1998-02-27,1998,http://portal.confref.org/list/stacs1998
RIDE,RIDE 1998,Orlando,Florida,1998-02-23,1998-02-24,1998,http://portal.confref.org/list/ride1998
ICDE,ICDE 1998,Orlando,United States of America,1998-02-23,1998-02-27,1998,http://portal.confref.org/list/icde1998
FC,FC 1998,Anguilla,British West Indies,1998-02-23,1998-02-25,1998,http://portal.confref.org/list/fc1998
DATE,DATE 1998,Paris,France,1998-02-23,1998-02-26,1998,http://portal.confref.org/list/date1998
FPGA,FPGA 1998,Monterey,United States of America,1998-02-22,1998-02-24,1998,http://portal.confref.org/list/fpga1998
CSEE,CSEE 1998,Atlanta,United States of America,1998-02-22,1998-02-25,1998,http://portal.confref.org/list/csee1998
MIIP,MIIP 1998,San Diego,United States of America,1998-02-21,1998-02-26,1998,http://portal.confref.org/list/miip1998
GLVLSI,GLVLSI 1998,Lafayette,USA,1998-02-19,1998-02-21,1998,http://portal.confref.org/list/glvlsi1998
PACLIC,PACLIC 1998,Singapore,Singapore,1998-02-18,1998-02-20,1998,http://portal.confref.org/list/paclic1998
QCQC,QCQC 1998,Palm Springs,USA,1998-02-17,1998-02-20,1998,http://portal.confref.org/list/qcqc1998
VRML,VRML 1998,Monterey,United States of America,1998-02-16,1998-02-19,1998,http://portal.confref.org/list/vrml1998
NOMS,NOMS 1998,New Orleans,United States of America,1998-02-15,1998-02-20,1998,http://portal.confref.org/list/noms1998
ASPDAC,ASPDAC 1998,Yokohama,Japan,1998-02-10,1998-02-13,1998,http://portal.confref.org/list/aspdac1998
ONDM,ONDM 1998,Rome,Italy,1998-02-09,1998-02-11,1998,http://portal.confref.org/list/ondm1998
PKC,PKC 1998,Pacifico Yokohama,Japan,1998-02-05,1998-02-06,1998,http://portal.confref.org/list/pkc1998
CATS,CATS 1998,Perth,West Australia,1998-02-02,1998-02-03,1998,http://portal.confref.org/list/cats1998
ADC,ADC 1998,Perth,Australia,1998-02-02,1998-02-03,1998,http://portal.confref.org/list/adc1998
HPCA,HPCA 1998,Las Vegas,United States of America,1998-01-31,1998-02-04,1998,http://portal.confref.org/list/hpca1998
CANPC,CANPC 1998,Las Vegas,United States of America,1998-01-31,1998-02-01,1998,http://portal.confref.org/list/canpc1998
SPIESR,SPIESR 1998,San Jose,United States of America,1998-01-28,1998-01-30,1998,http://portal.confref.org/list/spiesr1998
CMC,CMC 1998,Tilburg,The Netherlands,1998-01-28,1998-01-30,1998,http://portal.confref.org/list/cmc1998
3DICA,3DICA 1998,San Jose,United States of America,1998-01-27,1998-01-28,1998,http://portal.confref.org/list/3dica1998
SODA,SODA 1998,San Francisco,United States of America,1998-01-25,1998-01-27,1998,http://portal.confref.org/list/soda1998
HVEI,HVEI 1998,San Jose,United States of America,1998-01-24,1998-01-24,1998,http://portal.confref.org/list/hvei1998
DRR,DRR 1998,San Jose,United States of America,1998-01-24,1998-01-24,1998,http://portal.confref.org/list/drr1998
CLRIMG,CLRIMG 1998,San Jose,United States of America,1998-01-24,1998-01-24,1998,http://portal.confref.org/list/clrimg1998
PDP,PDP 1998,Madrid,Spain,1998-01-21,1998-01-23,1998,http://portal.confref.org/list/pdp1998
POPL,POPL 1998,San Diego,United States of America,1998-01-19,1998-01-21,1998,http://portal.confref.org/list/popl1998
CONLL,CONLL 1998,Sydney,Australia,1998-01-11,1998-01-17,1998,http://portal.confref.org/list/conll1998
ACCV,ACCV 1998,Hong Kong,People's Republic of China,1998-01-08,1998-01-10,1998,http://portal.confref.org/list/accv1998
IUI,IUI 1998,San Francisco,United States of America,1998-01-06,1998-01-09,1998,http://portal.confref.org/list/iui1998
HICSS,HICSS 1998,Kohala Coast,USA,1998-01-06,1998-01-09,1998,http://portal.confref.org/list/hicss1998
PPIG,PPIG 1998,Milton Keynes,UK,1998-01-05,1998-01-07,1998,http://portal.confref.org/list/ppig1998
VLSID,VLSID 1998,Chennai,India,1998-01-04,1998-01-07,1998,http://portal.confref.org/list/vlsid1998
AMAST,AMAST 1998,Amazonia,Brasil,1998-01-04,1998-01-08,1998,http://portal.confref.org/list/amast1998
CAIVD,CAIVD 1998,Bombay,India,1998-01-03,1998-01-03,1998,http://portal.confref.org/list/caivd1998
WSCG,WSCG 1998,Plzen-Bory,Czech Republic,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/wscg1998
WPMC,WPMC 1998,Yokosuka,Japan,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/wpmc1998
WOLLIC,WOLLIC 1998,Sao Paulo,Brazil,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/wollic1998
WLP,WLP 1998,Wien,Austria,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/wlp1998
WER,WER 1998,Maringá,Brasil,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/wer1998
WEBDB,WEBDB 1998,Valencia,Spain,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/webdb1998
WDAS,WDAS 1998,Orlando,United States of America,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/wdas1998
WCAE,WCAE 1998,Barcelona,Spain,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/wcae1998
VMCAI,VMCAI 1998,Pisa,Italy,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/vmcai1998
VLBV,VLBV 1998,Urbana,USA,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/vlbv1998
USM,USM 1998,Hamburg,Germany,1998-01-01,1998-01-01,1998,http://portal.confref.org/list/usm1998
